profile,source,request_index,token_index,arrival_ms,inter_token_ms,token_id
static_ptq_tail_cudagraph,profiled,0,15,647.850982,38.005267,578
static_ptq_tail_cudagraph,profiled,0,16,686.146863,38.29588100000001,4062
static_ptq_tail_cudagraph,profiled,0,17,724.040998,37.89413499999989,14198
static_ptq_tail_cudagraph,profiled,0,18,762.043129,38.00213100000008,39935
static_ptq_tail_cudagraph,profiled,0,19,800.080683,38.037554,35308
static_ptq_tail_cudagraph,profiled,0,20,838.113981,38.033297999999945,927
static_ptq_tail_cudagraph,profiled,0,21,876.130672,38.01669100000004,279
static_ptq_tail_cudagraph,profiled,0,22,914.201344,38.070671999999945,16053
static_ptq_tail_cudagraph,profiled,0,23,952.2053,38.00395600000002,5679
static_ptq_tail_cudagraph,profiled,0,24,990.28506,38.07976000000008,3221
static_ptq_tail_cudagraph,profiled,0,25,1028.295703,38.01064299999996,279
